animals,occupations,things at the beach,things in a classroom,things you rescue from a burning home,excuses for being late
0.05360631,-0.062292766,0.042243674,0.051887102,-0.018806966,-0.07206734
-0.0063373665,-0.0016142579,-0.06979786,-0.08817312,-0.08888324,-0.07473434
-0.054020647,-0.036366787,-0.030510467,0.023887815,0.023834387,0.012259709
-0.0677733,0.003862713,-0.029814722,-0.057744503,-0.07919989,-0.060996074
0.066198654,0.04054261,0.02312441,0.032031503,0.022353163,-0.07599871
0.04376594,0.07366231,0.05827738,0.032690123,0.06711765,0.0028016395
0.014301421,-0.029762337,-0.07684656,0.016624833,-0.05209578,0.03213133
-0.0074525736,-0.047506016,0.036952987,0.02170784,-0.008160023,-0.07278128
-0.04709253,-0.007416669,0.02105832,0.0073949117,-0.061040595,-0.010495973
-0.025679888,0.018869616,-0.007889015,-0.026018158,0.015910007,-0.07296413
0.004381988,0.026262581,-0.007351626,-0.014690427,-0.05467984,0.033205453
0.0805625,0.068712026,-0.042566277,-0.018773537,0.07146249,0.07386621
-0.005266133,0.054714635,0.097844735,0.088133544,0.08658189,0.044665214
0.004086994,-0.020444743,-0.04862093,0.010255088,-0.03983714,0.033459082
-0.040715136,0.046056926,-0.02521114,-0.026367411,-0.018735055,0.056123804
0.0039332123,-0.052613016,-0.015240814,-0.054409508,-0.052136336,0.05850701
-0.051109854,-0.033850238,-0.070487045,-0.034696307,0.03444265,0.020170473
0.016520085,0.036314916,0.028499153,0.047161378,-0.081537575,-0.07969585
-0.04504856,-0.0060866782,-0.044118814,-0.05511169,-0.06626947,-0.0020415494
0.033072654,-0.009663268,-0.039167136,-0.037858028,-0.013006908,-0.025595888
0.023568237,-0.04231891,0.022217607,-0.08307513,0.0064487588,-0.05929338
-0.0013840494,0.043889005,-0.043414693,0.021318939,-0.054202866,0.043755032
0.06057955,0.05854943,0.08055525,0.06371983,0.07836359,-0.004903174
-0.0314173,0.017316673,0.051637813,-0.04261688,-0.059696488,0.018406956
0.026171906,0.012035628,-0.03108495,-0.03236141,0.018541586,0.06486942
-0.032201383,-0.01164767,-0.034945987,-0.051019393,0.039039455,0.060411725
-0.017886778,-0.0002661384,0.018335098,-0.014302299,-0.03877218,-0.0379161
-0.030284168,-0.0122682685,-0.008226639,0.029446378,-0.07391904,-0.0075793983
0.005185203,-0.032208376,-0.015349207,-0.015476264,-0.05315114,-0.014940603
0.056479387,-0.045663595,-0.048756197,-0.024715984,0.060043946,-0.009012591
0.03338976,0.0018508706,0.04166462,0.0008338055,0.045351267,0.0643497
0.05378978,0.012871132,0.033476043,0.033665854,-0.016222829,-0.036608677
-0.042906955,-0.06488979,0.05817155,-0.016288124,0.005688185,-0.047783054
0.038276024,0.03243661,-0.036469154,0.008951587,0.027022952,0.06328248
0.045270313,-0.024893781,0.017283201,-0.0013884874,0.023867281,-0.05668322
0.043602835,0.071515426,-0.016210167,-0.02107682,-0.0373625,0.008660424
0.00539042,0.030134242,0.06944921,0.08941332,-0.07668962,0.057524834
0.040509805,0.044201594,-0.042824693,-0.054441366,-0.015192139,0.018289207
0.06738196,0.017556923,0.07900475,0.0618269,0.01847623,0.035900217
