"Subject","Fluency_Item","Switch_Value","Switch_Method"
825,"frog",1,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"fish",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"giraffe",1,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"horse",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"elephant",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"zebra",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"leopard",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"cheetah",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"tiger",1,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"eagle",1,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"cockatoo",1,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"dog",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"cat",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"ferret",1,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"goldfish",1,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"bass",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"crappie",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"tapir",1,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"elephant",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
825,"crocodile",0,"multimodaldelta_alpha=0.9_rise=0.0_fall=0.75"
826,"snail",2,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"eagle",1,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"canary",1,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"crow",1,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"bird",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"dog",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"cat",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"mouse",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"lizard",1,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"frog",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"slug",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"crane",1,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"flamingo",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"egret",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"snake",1,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"hippopotamus",1,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"giraffe",0,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
826,"lion",1,"multimodaldelta_alpha=1.0_rise=0.75_fall=0.5"
827,"dog",2,"troyerextended"
827,"cat",0,"troyerextended"
